"Variable","Type"
"uCode","character"
"GovEff","numeric"
"PolStab","numeric"
"RegQua","numeric"
"RuleOL","numeric"
"EntreprenPCplus","numeric"
"PolicyDB","numeric"
"ExpEdu","numeric"
"GovFundPup","numeric"
"PISA","numeric"
"PupTeachR","numeric"
"SchLifeExp","numeric"
"SciEngGrad","numeric"
"TertEnrol","numeric"
"TertMob","numeric"
"QSRank","numeric"
"RDCompExp","numeric"
"RDExp","numeric"
"ResPPop","numeric"
"GovOLServ","numeric"
"ICTAccWIPO5G20","numeric"
"ICTUseWIPO2","numeric"
"ElecOut","numeric"
"GroCap","numeric"
"LogPerf","numeric"
"GDPEner","numeric"
"ISOEnv","numeric"
"LowCarbonEner","numeric"
"DomCred2Priv","numeric"
"FinanceSSGEMplus","numeric"
"MicroLoanIMFFAS","numeric"
"JointVenPB","numeric"
"LateVCInt","numeric"
"MarkCap","numeric"
"VenCapInvPB","numeric"
"VenCapRecPB","numeric"
"AppTariffWTO","numeric"
"DomMarkSc","numeric"
"HHI","numeric"
"Demogdividend","numeric"
"FemEmpDeg","numeric"
"GERDFinBus","numeric"
"GERDPerf","numeric"
"KnowIntsEmp","numeric"
"PatFam","numeric"
"PublicPrivCopubs","numeric"
"StatClustDev","numeric"
"THEunirank","numeric"
"UniResColl","numeric"
"FDINetInfl","numeric"
"HiTechImp","numeric"
"ICTSevImp","numeric"
"IntelPropPay","numeric"
"ResTalBus","numeric"
"CitDoc","numeric"
"PatOrig","numeric"
"PCTInventors","numeric"
"SciTechArt","numeric"
"UtilModOrig","numeric"
"CompSoftSpend","numeric"
"GrowPPP","numeric"
"HiTechManuf","numeric"
"UnicornVal","numeric"
"EcComplexity","numeric"
"HTExpHKG","numeric"
"ICTServExp","numeric"
"IntelPropRec","numeric"
"ISOQual","numeric"
"BrandVal","numeric"
"CorpIAs","numeric"
"IndustDes","numeric"
"TradmkOrig","numeric"
"CreaGoodExp","numeric"
"CultServExp","numeric"
"EntMedia","numeric"
"FilmsOmdia","numeric"
"AppCrea","numeric"
"GHRecSentNoBot","numeric"
"TLDsMix","numeric"
