"","iCode","iName","STATUS","NUM","Level","Parent","EXPORT","Direction","Weight","Type"
"1","Index","Global Innovation Index",NA,"INDEX",5,NA,NA,1,1,"Aggregate"
"2","Inputs","Innovation inputs",NA,"IN",4,"Index",NA,1,1,"Aggregate"
"3","Outputs","Innovation outputs",NA,"OUT",4,"Index",NA,1,1,"Aggregate"
"4","P1","Institutions",NA,"IN.1",3,"Inputs",NA,1,1,"Aggregate"
"5","P2","Human capital and research",NA,"IN.2",3,"Inputs",NA,1,1,"Aggregate"
"6","P3","Infrastructure",NA,"IN.3",3,"Inputs",NA,1,1,"Aggregate"
"7","P4","Market sophistication",NA,"IN.4",3,"Inputs",NA,1,1,"Aggregate"
"8","P5","Business sophistication",NA,"IN.5",3,"Inputs",NA,1,1,"Aggregate"
"9","P6","Knowledge and technology outputs",NA,"OUT.6",3,"Outputs",NA,1,1,"Aggregate"
"10","P7","Creative outputs",NA,"OUT.7",3,"Outputs",NA,1,1,"Aggregate"
"11","SP1.1","Institutional environment",NA,"IN.1.1",2,"P1",NA,1,1,"Aggregate"
"12","SP1.2","Regulatory environment",NA,"IN.1.2",2,"P1",NA,1,1,"Aggregate"
"13","SP1.3","Business environment",NA,"IN.1.3",2,"P1",NA,1,1,"Aggregate"
"14","SP2.1","Education",NA,"IN.2.1",2,"P2",NA,1,1,"Aggregate"
"15","SP2.2","Tertiary education",NA,"IN.2.2",2,"P2",NA,1,1,"Aggregate"
"16","SP2.3","Research and development (R&D)",NA,"IN.2.3",2,"P2",NA,1,1,"Aggregate"
"17","SP3.1","Information and communication technologies (ICTs)",NA,"IN.3.1",2,"P3",NA,1,1,"Aggregate"
"18","SP3.2","General infrastructure",NA,"IN.3.2",2,"P3",NA,1,1,"Aggregate"
"19","SP3.3","Ecological sustainability",NA,"IN.3.3",2,"P3",NA,1,1,"Aggregate"
"20","SP4.1","Credit",NA,"IN.4.1",2,"P4",NA,1,1,"Aggregate"
"21","SP4.2","Investment",NA,"IN.4.2",2,"P4",NA,1,1,"Aggregate"
"22","SP4.3","Trade, diversification and market scale",NA,"IN.4.3",2,"P4",NA,1,1,"Aggregate"
"23","SP5.1","Knowledge workers",NA,"IN.5.1",2,"P5",NA,1,1,"Aggregate"
"24","SP5.2","Innovation linkages",NA,"IN.5.2",2,"P5",NA,1,1,"Aggregate"
"25","SP5.3","Knowledge absorption",NA,"IN.5.3",2,"P5",NA,1,1,"Aggregate"
"26","SP6.1","Knowledge creation",NA,"OUT.6.1",2,"P6",NA,1,1,"Aggregate"
"27","SP6.2","Knowledge impact",NA,"OUT.6.2",2,"P6",NA,1,1,"Aggregate"
"28","SP6.3","Knowledge diffusion",NA,"OUT.6.3",2,"P6",NA,1,1,"Aggregate"
"29","SP7.1","Intangible assets",NA,"OUT.7.1",2,"P7",NA,1,1,"Aggregate"
"30","SP7.2","Creative goods and services",NA,"OUT.7.2",2,"P7",NA,1,0.5,"Aggregate"
"31","SP7.3","Online creativity",NA,"OUT.7.3",2,"P7",NA,1,0.5,"Aggregate"
"32","PolStab","Operational stability for businesses*","Active","IN.1.1.1",1,"SP1.1","Backcast",-1,1,"Indicator"
"33","GovEff","Government effectiveness*","Active","IN.1.1.2",1,"SP1.1","Current",1,1,"Indicator"
"34","RegQua","Regulatory quality*","Active","IN.1.2.1",1,"SP1.2","Current",1,1,"Indicator"
"35","RuleOL","Rule of law*","Active","IN.1.2.2",1,"SP1.2","Current",1,1,"Indicator"
"36","PolicyDB","Policy stability for doing business†","Active","IN.1.3.1",1,"SP1.3","Backcast",1,1,"Indicator"
"37","EntreprenPCplus","Entrepreneurship policies and culture†","Active","IN.1.3.2",1,"SP1.3","Backcast",1,1,"Indicator"
"38","ExpEdu","Expenditure on education","Active","IN.2.1.1",1,"SP2.1","Backcast",1,1,"Indicator"
"39","GovFundPup","Government funding/pupil, secondary","Active","IN.2.1.2",1,"SP2.1","Backcast",1,1,"Indicator"
"40","SchLifeExp","School life expectancy","Active","IN.2.1.3",1,"SP2.1","Backcast",1,1,"Indicator"
"41","PISA","PISA scales in reading, maths and science","Active","IN.2.1.4",1,"SP2.1","Backcast",1,1,"Indicator"
"42","PupTeachR","Pupil-teacher ratio, secondary","Active","IN.2.1.5",1,"SP2.1","Backcast",-1,1,"Indicator"
"43","TertEnrol","Tertiary enrolment","Active","IN.2.2.1",1,"SP2.2","Backcast",1,1,"Indicator"
"44","SciEngGrad","Graduates in science and engineering","Active","IN.2.2.2",1,"SP2.2","Backcast",1,1,"Indicator"
"45","TertMob","Tertiary inbound mobility","Active","IN.2.2.3",1,"SP2.2","Backcast",1,1,"Indicator"
"46","ResPPop","Researchers","Active","IN.2.3.1",1,"SP2.3","Backcast",1,1,"Indicator"
"47","RDExp","Gross expenditure on R&D","Active","IN.2.3.2",1,"SP2.3","Backcast",1,1,"Indicator"
"48","RDCompExp","Global corporate R&D investors","Active","IN.2.3.3",1,"SP2.3","Backcast",1,1,"Indicator"
"49","QSRank","QS university ranking*","Active","IN.2.3.4",1,"SP2.3","Backcast",1,1,"Indicator"
"50","ICTAccWIPO5G20","ICT access*","Test","IN.3.1.1",1,"SP3.1","Backcast",1,1,"Indicator"
"51","ICTUseWIPO2","ICT use*","Active","IN.3.1.2",1,"SP3.1","Backcast",1,1,"Indicator"
"52","GovOLServ","Government's online service*","Active","IN.3.1.3",1,"SP3.1","Backcast",1,1,"Indicator"
"53","ElecOut","Electricity output","Active","IN.3.2.1",1,"SP3.2","Backcast",1,1,"Indicator"
"54","LogPerf","Logistics performance*","Active","IN.3.2.2",1,"SP3.2","Current",1,1,"Indicator"
"55","GroCap","Gross capital formation","Active","IN.3.2.3",1,"SP3.2","MoveAve3",1,1,"Indicator"
"56","GDPEner","GDP/unit of energy use","Active","IN.3.3.1",1,"SP3.3","Backcast",1,1,"Indicator"
"57","LowCarbonEner","Low-carbon energy use","Active","IN.3.3.2",1,"SP3.3","Backcast",1,1,"Indicator"
"58","ISOEnv","ISO 14001 environmental certificates","Active","IN.3.3.3",1,"SP3.3","Backcast",1,1,"Indicator"
"59","FinanceSSGEMplus","Finance for startups and scale-ups†","Active","IN.4.1.1",1,"SP4.1","Backcast",1,1,"Indicator"
"60","DomCred2Priv","Domestic credit to private sector","Active","IN.4.1.2",1,"SP4.1","Backcast",1,1,"Indicator"
"61","MicroLoanIMFFAS","Loans from microfinance institutions","Active","IN.4.1.3",1,"SP4.1","Backcast",1,1,"Indicator"
"62","MarkCap","Market capitalization","Active","IN.4.2.1",1,"SP4.2","MoveAve3",1,1,"Indicator"
"63","VenCapInvPB","Venture capital investors","Test","IN.4.2.2",1,"SP4.2","ResMoveAve3",1,1,"Indicator"
"64","VenCapRecPB","Venture capital recipients","Test","IN.4.2.3",1,"SP4.2","ResMoveAve3",1,1,"Indicator"
"65","LateVCInt","Late VC deals intensity","Test","IN.4.2.4",1,"SP4.2","ResMoveAve3",1,1,"Indicator"
"66","JointVenPB","Joint venture deals","Test","IN.4.2.5",1,"SP4.2","ResMoveAve3",1,1,"Indicator"
"67","AppTariffWTO","Applied tariff rate, weighted avg.","Active","IN.4.3.1",1,"SP4.3","Backcast",-1,1,"Indicator"
"68","HHI","Domestic industry diversification","Active","IN.4.3.2",1,"SP4.3","Backcast",-1,1,"Indicator"
"69","DomMarkSc","Domestic market scale","Active","IN.4.3.3",1,"SP4.3","Backcast",1,1,"Indicator"
"70","Demogdividend","Emerging knowledge workforce","Test","IN.5.1.1",1,"SP5.1","Backcast",1,1,"Indicator"
"71","KnowIntsEmp","Knowledge-intensive employment","Active","IN.5.1.2",1,"SP5.1","Backcast",1,1,"Indicator"
"72","FemEmpDeg","Females employed w/advanced degrees","Active","IN.5.1.3",1,"SP5.1","Backcast",1,1,"Indicator"
"73","GERDPerf","GERD performed by business","Active","IN.5.1.4",1,"SP5.1","Backcast",1,1,"Indicator"
"74","GERDFinBus","GERD financed by business","Active","IN.5.1.5",1,"SP5.1","Backcast",1,1,"Indicator"
"75","PublicPrivCopubs","Public research–industry co-publications","Active","IN.5.2.1",1,"SP5.2","MoveAve5",1,1,"Indicator"
"76","UniResColl","University–industry R&D collaboration†","Active","IN.5.2.2",1,"SP5.2","Backcast",1,1,"Indicator"
"77","THEunirank","WU Rankings industry and global outlook","Test","IN.5.2.3",1,"SP5.2","Current",1,1,"Indicator"
"78","StatClustDev","State of cluster development†","Active","IN.5.2.4",1,"SP5.2","Backcast",1,1,"Indicator"
"79","PatFam","Patent families","Active","IN.5.2.5",1,"SP5.2","Backcast",1,1,"Indicator"
"80","IntelPropPay","Intellectual property payments","Active","IN.5.3.1",1,"SP5.3","MoveAve3",1,1,"Indicator"
"81","HiTechImp","High-tech imports","Active","IN.5.3.2",1,"SP5.3","Backcast",1,1,"Indicator"
"82","ICTSevImp","ICT services imports","Active","IN.5.3.3",1,"SP5.3","Backcast",1,1,"Indicator"
"83","FDINetInfl","FDI net inflows","Active","IN.5.3.4",1,"SP5.3","MoveAve3",1,1,"Indicator"
"84","ResTalBus","Research talent","Active","IN.5.3.5",1,"SP5.3","Backcast",1,1,"Indicator"
"85","PatOrig","Patents by origin","Active","OUT.6.1.1",1,"SP6.1","Backcast",1,1,"Indicator"
"86","PCTInventors","PCT patents by inventor origin","Test","OUT.6.1.2",1,"SP6.1","Backcast",1,1,"Indicator"
"87","UtilModOrig","Utility models by origin","Active","OUT.6.1.3",1,"SP6.1","Backcast",1,1,"Indicator"
"88","SciTechArt","Scientific and technical articles","Active","OUT.6.1.4",1,"SP6.1","Backcast",1,1,"Indicator"
"89","CitDoc","Citable documents H-index","Active","OUT.6.1.5",1,"SP6.1","Backcast",1,1,"Indicator"
"90","GrowPPP","Labor productivity growth","Active","OUT.6.2.1",1,"SP6.2","MoveAve5",1,1,"Indicator"
"91","UnicornVal","Unicorn valuation","Active","OUT.6.2.2",1,"SP6.2","Current",1,1,"Indicator"
"92","CompSoftSpend","Software spending","Active","OUT.6.2.3",1,"SP6.2","Backcast",1,1,"Indicator"
"93","HiTechManuf","High-tech manufacturing","Active","OUT.6.2.4",1,"SP6.2","Backcast",1,1,"Indicator"
"94","IntelPropRec","Intellectual property receipts","Active","OUT.6.3.1",1,"SP6.3","MoveAve3",1,1,"Indicator"
"95","EcComplexity","Production and export complexity","Active","OUT.6.3.2",1,"SP6.3","Backcast",1,1,"Indicator"
"96","HTExpHKG","High-tech exports","Active","OUT.6.3.3",1,"SP6.3","Backcast",1,1,"Indicator"
"97","ICTServExp","ICT services exports","Active","OUT.6.3.4",1,"SP6.3","Backcast",1,1,"Indicator"
"98","ISOQual","ISO 9001 quality certificates","Active","OUT.6.3.5",1,"SP6.3","Backcast",1,1,"Indicator"
"99","CorpIAs","Intangible asset intensity, top 15","Active","OUT.7.1.1",1,"SP7.1","Backcast",1,1,"Indicator"
"100","TradmkOrig","Trademarks by origin","Active","OUT.7.1.2",1,"SP7.1","Backcast",1,1,"Indicator"
"101","BrandVal","Global brand value, top 5,000","Active","OUT.7.1.3",1,"SP7.1","Backcast",1,1,"Indicator"
"102","IndustDes","Industrial designs by origin","Active","OUT.7.1.4",1,"SP7.1","Backcast",1,1,"Indicator"
"103","CultServExp","Cultural and creative services exports","Active","OUT.7.2.1",1,"SP7.2","Backcast",1,1,"Indicator"
"104","FilmsOmdia","National feature films","Active","OUT.7.2.2",1,"SP7.2","Backcast",1,1,"Indicator"
"105","EntMedia","Entertainment and media market","Active","OUT.7.2.3",1,"SP7.2","Backcast",1,1,"Indicator"
"106","CreaGoodExp","Creative goods exports","Active","OUT.7.2.4",1,"SP7.2","Backcast",1,1,"Indicator"
"107","TLDsMix","Top-level domains (TLDs)","Active","OUT.7.3.1",1,"SP7.3","Backcast",1,1,"Indicator"
"108","GHRecSentNoBot","GitHub commits","Active","OUT.7.3.2",1,"SP7.3","Backcast",1,1,"Indicator"
"109","AppCrea","Mobile app creation","Active","OUT.7.3.3",1,"SP7.3","MoveAve2",1,1,"Indicator"
