"group","best_spearman","variables","correlation"
"SP1.1",0.900126845289915,"PolStab",0.83629127139246
"SP1.2",0.95559178886045,"RegQua",0.83629127139246
"SP1.3",0.770929273313396,"PolicyDB",0.83629127139246
"SP2.1",0.565334741872096,"SchLifeExp",0.83629127139246
"SP2.2",0.597295549913997,"TertEnrol",0.83629127139246
"SP2.3",0.865390907574525,"RDExp",0.83629127139246
"SP3.1",0.83878884683616,"ICTAccWIPO5G20",0.83629127139246
"SP3.2",0.600321381543975,"LogPerf",0.83629127139246
"SP3.3",0.528081266691254,"ISOEnv",0.83629127139246
"SP4.1",0.649198242966204,"FinanceSSGEMplus",0.83629127139246
"SP4.2",0.807898658986402,"JointVenPB",0.83629127139246
"SP4.3",0.724544203145764,"HHI",0.83629127139246
"SP5.1",0.785815643325718,"KnowIntsEmp",0.83629127139246
"SP5.2",0.759466161379648,"UniResColl",0.83629127139246
"SP5.3",0.664295912481316,"ResTalBus",0.83629127139246
"SP6.1",0.848003195936073,"PCTInventors",0.83629127139246
"SP6.2",0.573086428105251,"HiTechManuf",0.83629127139246
"SP6.3",0.689478733970494,"HTExpHKG",0.83629127139246
"SP7.1",0.550850634357287,"BrandVal",0.83629127139246
"SP7.2",0.679852545868613,"EntMedia",0.83629127139246
"SP7.3",0.94166024297705,"GHRecSentNoBot",0.83629127139246
