"group","allocated","best_rm","variables","correlation"
"SP1.1",1,0.938407404703257,"PolStab",0.929068788207321
"SP1.2",1,0.97510304563532,"RuleOL",0.929068788207321
"SP1.3",1,0.833713283949291,"EntreprenPCplus",0.929068788207321
"SP2.1",3,0.882226413774712,"ExpEdu,PISA,PupTeachR",0.929068788207321
"SP2.2",2,0.840365420481043,"SciEngGrad,TertMob",0.929068788207321
"SP2.3",2,0.921515713474094,"RDCompExp,ResPPop",0.929068788207321
"SP3.1",2,0.966127710009777,"GovOLServ,ICTUseWIPO2",0.929068788207321
"SP3.2",2,0.867267201359424,"ElecOut,GroCap",0.929068788207321
"SP3.3",1,0.587668817308742,"ISOEnv",0.929068788207321
"SP4.1",1,0.650316174433195,"FinanceSSGEMplus",0.929068788207321
"SP4.2",3,0.979711810303868,"JointVenPB,LateVCInt,MarkCap",0.929068788207321
"SP4.3",1,0.639239594843383,"HHI",0.929068788207321
"SP5.1",3,0.943985782592302,"FemEmpDeg,GERDFinBus,GERDPerf",0.929068788207321
"SP5.2",3,0.937483097941303,"PatFam,PublicPrivCopubs,StatClustDev",0.929068788207321
"SP5.3",3,0.812543848789563,"HiTechImp,ICTSevImp,IntelPropPay",0.929068788207321
"SP6.1",3,0.906838560794988,"PCTInventors,SciTechArt,UtilModOrig",0.929068788207321
"SP6.2",2,0.777479888666873,"GrowPPP,HiTechManuf",0.929068788207321
"SP6.3",3,0.871088609815872,"HTExpHKG,IntelPropRec,ISOQual",0.929068788207321
"SP7.1",2,0.811263590658103,"BrandVal,TradmkOrig",0.929068788207321
"SP7.2",2,0.73873276809839,"CreaGoodExp,FilmsOmdia",0.929068788207321
"SP7.3",1,0.639371467525581,"GHRecSentNoBot",0.929068788207321
