"k","mean_correlation","median_correlation","min_correlation","max_correlation"
8,0.677730763730552,0.687345109934128,0.383257277825471,0.824100100606667
15,0.783795580267547,0.788670980994158,0.626049780542246,0.878140414592476
23,0.847296867886776,0.851143028852553,0.725932985552492,0.918203414699751
31,0.891351412571213,0.893049136307439,0.807651913177697,0.936261793448649
38,0.920169347372459,0.922495771665866,0.85597180664119,0.954949700574355
42,0.932386475401405,0.935234328349809,0.872193485457592,0.96226147377001
46,0.945688093108186,0.947818179055156,0.897976832649495,0.970667267219887
54,0.963038118674708,0.964555310875492,0.901687154021894,0.982632229756953
62,0.977907680297772,0.979148220127756,0.944517345674805,0.990996679116269
69,0.988215400507659,0.989029055763341,0.956518375621235,0.995991503947794
