"subpillar","variable","subpillar_r_m","overall_r_m"
"SP1.1","PolStab",0.938407404703257,0.82564659755688
"SP1.2","RuleOL",0.97510304563532,0.82564659755688
"SP1.3","EntreprenPCplus",0.833713283949291,0.82564659755688
"SP2.1","SchLifeExp",0.626391438997332,0.82564659755688
"SP2.2","TertEnrol",0.615425731858994,0.82564659755688
"SP2.3","RDExp",0.792835927859497,0.82564659755688
"SP3.1","ICTAccWIPO5G20",0.877163656196223,0.82564659755688
"SP3.2","LogPerf",0.647167435747584,0.82564659755688
"SP3.3","ISOEnv",0.587668817308742,0.82564659755688
"SP4.1","FinanceSSGEMplus",0.650316174433195,0.82564659755688
"SP4.2","JointVenPB",0.750157113606286,0.82564659755688
"SP4.3","HHI",0.639239594843383,0.82564659755688
"SP5.1","KnowIntsEmp",0.802120908590209,0.82564659755688
"SP5.2","UniResColl",0.726522114609484,0.82564659755688
"SP5.3","ResTalBus",0.508235725036696,0.82564659755688
"SP6.1","PCTInventors",0.637594067906078,0.82564659755688
"SP6.2","HiTechManuf",0.592471477308883,0.82564659755688
"SP6.3","EcComplexity",0.649282226734289,0.82564659755688
"SP7.1","IndustDes",0.612855803196455,0.82564659755688
"SP7.2","EntMedia",0.549508850287143,0.82564659755688
"SP7.3","GHRecSentNoBot",0.639371467525581,0.82564659755688
