"k","mean_r_m","median_r_m","min_r_m","max_r_m"
8,0.695438271560488,0.693899621212215,0.662601392914347,0.721585386851848
15,0.79120854346,0.793489762510898,0.77276225321838,0.800518724045051
23,0.856650947669613,0.857449502129027,0.829834146350009,0.873403074865254
31,0.900455557083288,0.899568373954014,0.892073839504323,0.916473219541169
38,0.925426329533063,0.92439647332874,0.911708672467171,0.940541691566058
42,0.940990980837138,0.941895699715699,0.928594313575212,0.949267785398298
46,0.950868292032288,0.952157172675489,0.939571587888862,0.957922057367209
54,0.96945930487679,0.968697898325413,0.960071863149445,0.978989700352465
62,0.983040051060953,0.982853708059906,0.979137506172545,0.988451720624773
69,0.991840899292015,0.992157295119826,0.988369749629899,0.994685134290079
