"k","mean_r_m","subset_variance_captured","pca_variance_at_k_components"
8,0.695438271560488,0.483634389551038,0.649153437937525
15,0.79120854346,0.626010959244095,0.784807523436215
23,0.856650947669613,0.733850846143246,0.878309731982864
31,0.900455557083288,0.810820210282175,0.930762212565126
38,0.925426329533063,0.856413891393038,0.95873710885826
42,0.940990980837138,0.885464026016839,0.969464964375934
46,0.950868292032288,0.904150508792401,0.977861207034103
54,0.96945930487679,0.939851343812188,0.98926543051406
62,0.983040051060953,0.96636774198992,0.995764168490212
69,0.991840899292015,0.983748369508394,0.99873498299025
