"best_rm","indicators","component","n_indicators","total_rm"
0.842722207955114,"GovEff","IN.1",1,0.705150121395072
0.621630830720505,"ResPPop","IN.2",1,0.705150121395072
0.611844628713475,"ICTAccWIPO5G20","IN.3",1,0.705150121395072
0.516343400116477,"JointVenPB","IN.4",1,0.705150121395072
0.624129051035068,"ResTalBus","IN.5",1,0.705150121395072
0.550471635709537,"EcComplexity","OUT.6",1,0.705150121395072
0.498957644624407,"EntMedia","OUT.7",1,0.705150121395072
0.920478370548628,"EntreprenPCplus,GovEff","IN.1",2,0.801747730074453
0.698720820810629,"RDExp,TertEnrol","IN.2",2,0.801747730074453
0.707715562181918,"ICTAccWIPO5G20,LowCarbonEner","IN.3",2,0.801747730074453
0.67526554191863,"DomMarkSc,JointVenPB","IN.4",2,0.801747730074453
0.694368632251944,"FemEmpDeg,UniResColl","IN.5",2,0.801747730074453
0.637682024508215,"EcComplexity,PatOrig","OUT.6",2,0.801747730074453
0.624746623591082,"EntMedia,IndustDes","OUT.7",2,0.801747730074453
0.964616697158185,"EntreprenPCplus,PolicyDB,RegQua","IN.1",3,0.853797197384947
0.757171272215136,"ExpEdu,RDExp,TertEnrol","IN.2",3,0.853797197384947
0.784428178989847,"GroCap,ICTAccWIPO5G20,LowCarbonEner","IN.3",3,0.853797197384947
0.764055904425667,"DomCred2Priv,DomMarkSc,JointVenPB","IN.4",3,0.853797197384947
0.745620696028364,"FemEmpDeg,HiTechImp,UniResColl","IN.5",3,0.853797197384947
0.701994958352204,"CompSoftSpend,EcComplexity,PatOrig","OUT.6",3,0.853797197384947
0.696832415884072,"EntMedia,FilmsOmdia,IndustDes","OUT.7",3,0.853797197384947
0.986721039660455,"EntreprenPCplus,PolicyDB,PolStab,RuleOL","IN.1",4,0.900002787578048
0.811056010457448,"ExpEdu,RDExp,TertEnrol,TertMob","IN.2",4,0.900002787578048
0.85104520172691,"GDPEner,GroCap,ICTAccWIPO5G20,LowCarbonEner","IN.3",4,0.900002787578048
0.827630243814155,"HHI,JointVenPB,LateVCInt,MarkCap","IN.4",4,0.900002787578048
0.790083377009089,"FDINetInfl,FemEmpDeg,HiTechImp,UniResColl","IN.5",4,0.900002787578048
0.75498149201564,"CompSoftSpend,EcComplexity,PCTInventors,UtilModOrig","OUT.6",4,0.900002787578048
0.758934432783563,"CreaGoodExp,EntMedia,FilmsOmdia,IndustDes","OUT.7",4,0.900002787578048
