"combination","description","level","allocation_type","metric","budget","n_restarts","best_restart_score","full_dataset_score","rounds_to_converge","variables"
"flat_pillar_21","Flat allocation by pillar (3/pillar, 21 total)","pillar","flat","distance",21,5,0.941377586508794,0.941377586508794,4,"CultServExp,Demogdividend,DomCred2Priv,EntreprenPCplus,GovEff,HiTechImp,ICTAccWIPO5G20,ICTServExp,ICTSevImp,IndustDes,ISOEnv,JointVenPB,LateVCInt,LogPerf,PCTInventors,QSRank,RegQua,ResPPop,SciEngGrad,SciTechArt,TLDsMix"
"flat_pillar_21","Flat allocation by pillar (3/pillar, 21 total)","pillar","flat","r_m",21,5,0.885141025017144,0.885141025017144,4,"AppCrea,CorpIAs,CreaGoodExp,Demogdividend,ElecOut,EntreprenPCplus,ExpEdu,FDINetInfl,GroCap,IntelPropPay,ISOQual,JointVenPB,LateVCInt,LowCarbonEner,MarkCap,PCTInventors,PolicyDB,QSRank,RegQua,ResPPop,UtilModOrig"
"prop_pillar_21","Proportional allocation across pillars (21 total)","pillar","proportional","distance",21,5,0.938910481726837,0.938910481726837,4,"AppTariffWTO,CorpIAs,Demogdividend,DomCred2Priv,EcComplexity,ElecOut,EntreprenPCplus,FDINetInfl,GHRecSentNoBot,HiTechImp,ICTAccWIPO5G20,ICTServExp,ICTSevImp,IndustDes,PCTInventors,PISA,QSRank,RDCompExp,RegQua,SciTechArt,VenCapRecPB"
"prop_pillar_21","Proportional allocation across pillars (21 total)","pillar","proportional","r_m",21,5,0.885126721249038,0.885126721249038,3,"CorpIAs,CultServExp,Demogdividend,EntreprenPCplus,ExpEdu,FilmsOmdia,GovEff,GroCap,GrowPPP,HTExpHKG,ICTSevImp,IntelPropPay,ISOEnv,JointVenPB,MarkCap,MicroLoanIMFFAS,PatFam,RDCompExp,ResPPop,UnicornVal,UtilModOrig"
"flat_subpillar_21","Flat allocation by sub-pillar (1/sub-pillar, 21 total)","sub-pillar","flat","distance",21,5,0.92567671541663,0.92567671541663,6,"CorpIAs,CultServExp,DomCred2Priv,DomMarkSc,EcComplexity,ElecOut,EntreprenPCplus,GDPEner,GERDPerf,GHRecSentNoBot,HiTechManuf,ICTAccWIPO5G20,ICTSevImp,PCTInventors,PISA,PolStab,QSRank,RegQua,TertEnrol,UniResColl,VenCapRecPB"
"flat_subpillar_21","Flat allocation by sub-pillar (1/sub-pillar, 21 total)","sub-pillar","flat","r_m",21,5,0.877723630666975,0.877723630666975,4,"AppCrea,CultServExp,DomMarkSc,ElecOut,EntreprenPCplus,ExpEdu,GERDPerf,GrowPPP,HiTechImp,ICTAccWIPO5G20,ICTServExp,ISOEnv,JointVenPB,MicroLoanIMFFAS,PCTInventors,PolStab,RDCompExp,RegQua,SciEngGrad,THEunirank,TradmkOrig"
"flat_pillar_42","Flat allocation by pillar (6/pillar, 42 total)","pillar","flat","distance",42,5,0.976166552436506,0.976166552436506,6,"AppTariffWTO,BrandVal,CorpIAs,CreaGoodExp,DomMarkSc,ElecOut,EntMedia,EntreprenPCplus,FDINetInfl,GERDPerf,GovEff,GovFundPup,GroCap,HHI,HiTechManuf,HTExpHKG,ICTAccWIPO5G20,ICTSevImp,ICTUseWIPO2,IndustDes,IntelPropPay,IntelPropRec,ISOQual,LogPerf,LowCarbonEner,MarkCap,MicroLoanIMFFAS,PatFam,PISA,PolicyDB,PolStab,QSRank,RDCompExp,RDExp,RegQua,ResTalBus,RuleOL,SciTechArt,TertEnrol,TLDsMix,UnicornVal,VenCapInvPB"
"flat_pillar_42","Flat allocation by pillar (6/pillar, 42 total)","pillar","flat","r_m",42,5,0.967723717515401,0.967723717515401,3,"AppTariffWTO,BrandVal,CorpIAs,CultServExp,ElecOut,EntreprenPCplus,ExpEdu,FDINetInfl,FilmsOmdia,GDPEner,GERDPerf,GovEff,GovFundPup,GroCap,GrowPPP,HHI,HTExpHKG,ICTServExp,ICTSevImp,ICTUseWIPO2,IntelPropPay,ISOEnv,LateVCInt,LowCarbonEner,MarkCap,MicroLoanIMFFAS,PatFam,PolicyDB,PolStab,PublicPrivCopubs,PupTeachR,RegQua,RuleOL,SciEngGrad,SciTechArt,TertEnrol,TertMob,TLDsMix,TradmkOrig,UnicornVal,UtilModOrig,VenCapInvPB"
"prop_pillar_42","Proportional allocation across pillars (42 total)","pillar","proportional","distance",42,5,0.97638319258098,0.97638319258098,5,"AppTariffWTO,BrandVal,CompSoftSpend,CorpIAs,CreaGoodExp,CultServExp,ElecOut,EntreprenPCplus,FemEmpDeg,GDPEner,GERDFinBus,GovOLServ,HiTechImp,HiTechManuf,ICTAccWIPO5G20,ICTServExp,ICTSevImp,ICTUseWIPO2,IndustDes,IntelPropRec,ISOQual,JointVenPB,KnowIntsEmp,LateVCInt,MarkCap,MicroLoanIMFFAS,PatFam,PatOrig,PolStab,PublicPrivCopubs,QSRank,RDExp,RegQua,ResPPop,SchLifeExp,SciEngGrad,SciTechArt,TertMob,TLDsMix,UnicornVal,UniResColl,VenCapInvPB"
"prop_pillar_42","Proportional allocation across pillars (42 total)","pillar","proportional","r_m",42,5,0.971175194669128,0.971175194669128,5,"AppTariffWTO,CorpIAs,CreaGoodExp,EntreprenPCplus,ExpEdu,FDINetInfl,FemEmpDeg,FilmsOmdia,GDPEner,GovFundPup,GroCap,GrowPPP,HHI,HiTechImp,HiTechManuf,ICTServExp,ICTSevImp,ICTUseWIPO2,IndustDes,IntelPropPay,IntelPropRec,ISOEnv,LateVCInt,LowCarbonEner,MarkCap,MicroLoanIMFFAS,PatFam,PCTInventors,PolicyDB,PupTeachR,RuleOL,SciEngGrad,SciTechArt,TertEnrol,TertMob,THEunirank,TLDsMix,TradmkOrig,UnicornVal,UniResColl,UtilModOrig,VenCapInvPB"
"flat_subpillar_42","Flat allocation by sub-pillar (2/sub-pillar, 42 total)","sub-pillar","flat","distance",42,5,0.973884221443771,0.973884221443771,4,"AppCrea,AppTariffWTO,CitDoc,CorpIAs,CreaGoodExp,Demogdividend,DomCred2Priv,DomMarkSc,ElecOut,EntMedia,EntreprenPCplus,FDINetInfl,GDPEner,GERDPerf,GovEff,GovFundPup,GovOLServ,HiTechManuf,HTExpHKG,ICTUseWIPO2,IndustDes,IntelPropPay,ISOQual,LogPerf,LowCarbonEner,MarkCap,MicroLoanIMFFAS,PatFam,PatOrig,PolicyDB,PolStab,PublicPrivCopubs,PupTeachR,RDExp,RegQua,ResPPop,RuleOL,TertEnrol,TertMob,TLDsMix,UnicornVal,VenCapInvPB"
"flat_subpillar_42","Flat allocation by sub-pillar (2/sub-pillar, 42 total)","sub-pillar","flat","r_m",42,5,0.965605054065966,0.965605054065966,4,"AppCrea,AppTariffWTO,CorpIAs,CultServExp,DomCred2Priv,ElecOut,EntreprenPCplus,ExpEdu,FDINetInfl,FemEmpDeg,FilmsOmdia,GDPEner,GERDPerf,GovEff,GovFundPup,GovOLServ,GroCap,GrowPPP,HHI,HTExpHKG,ICTAccWIPO5G20,IntelPropPay,ISOQual,LowCarbonEner,MarkCap,MicroLoanIMFFAS,PatFam,PatOrig,PolicyDB,PolStab,RDCompExp,RegQua,ResPPop,RuleOL,SciEngGrad,TertMob,THEunirank,TLDsMix,TradmkOrig,UnicornVal,UtilModOrig,VenCapInvPB"
"prop_subpillar_42","Proportional allocation across sub-pillars (42 total)","sub-pillar","proportional","distance",42,5,0.977124801814373,0.977124801814373,6,"AppTariffWTO,CitDoc,CorpIAs,CreaGoodExp,Demogdividend,ElecOut,EntMedia,EntreprenPCplus,FDINetInfl,FemEmpDeg,GERDFinBus,GovFundPup,GovOLServ,HiTechManuf,HTExpHKG,ICTSevImp,ICTUseWIPO2,IndustDes,IntelPropPay,IntelPropRec,ISOQual,LateVCInt,LogPerf,LowCarbonEner,MarkCap,MicroLoanIMFFAS,PatFam,PatOrig,PISA,PolStab,RDExp,RegQua,ResPPop,SchLifeExp,SciEngGrad,SciTechArt,TertMob,THEunirank,TLDsMix,UnicornVal,UniResColl,VenCapInvPB"
"prop_subpillar_42","Proportional allocation across sub-pillars (42 total)","sub-pillar","proportional","r_m",42,5,0.967451880328277,0.967451880328277,3,"AppTariffWTO,CorpIAs,CultServExp,ElecOut,EntreprenPCplus,ExpEdu,FDINetInfl,FemEmpDeg,FilmsOmdia,GERDFinBus,GERDPerf,GovFundPup,GovOLServ,GroCap,GrowPPP,HTExpHKG,ICTServExp,ICTSevImp,ICTUseWIPO2,IntelPropPay,ISOQual,JointVenPB,LateVCInt,LowCarbonEner,MarkCap,MicroLoanIMFFAS,PatFam,PatOrig,PolStab,PublicPrivCopubs,PupTeachR,QSRank,ResPPop,RuleOL,SciEngGrad,SciTechArt,StatClustDev,TertMob,TLDsMix,TradmkOrig,UnicornVal,UtilModOrig"
