"combination","metric","group","variable"
"flat_pillar_21","distance","IN.1","RegQua"
"flat_pillar_21","distance","IN.1","GovEff"
"flat_pillar_21","distance","IN.1","EntreprenPCplus"
"flat_pillar_21","distance","IN.2","QSRank"
"flat_pillar_21","distance","IN.2","SciEngGrad"
"flat_pillar_21","distance","IN.2","ResPPop"
"flat_pillar_21","distance","IN.3","LogPerf"
"flat_pillar_21","distance","IN.3","ISOEnv"
"flat_pillar_21","distance","IN.3","ICTAccWIPO5G20"
"flat_pillar_21","distance","IN.4","JointVenPB"
"flat_pillar_21","distance","IN.4","LateVCInt"
"flat_pillar_21","distance","IN.4","DomCred2Priv"
"flat_pillar_21","distance","IN.5","HiTechImp"
"flat_pillar_21","distance","IN.5","Demogdividend"
"flat_pillar_21","distance","IN.5","ICTSevImp"
"flat_pillar_21","distance","OUT.6","SciTechArt"
"flat_pillar_21","distance","OUT.6","PCTInventors"
"flat_pillar_21","distance","OUT.6","ICTServExp"
"flat_pillar_21","distance","OUT.7","TLDsMix"
"flat_pillar_21","distance","OUT.7","CultServExp"
"flat_pillar_21","distance","OUT.7","IndustDes"
"flat_pillar_21","r_m","IN.1","EntreprenPCplus"
"flat_pillar_21","r_m","IN.1","PolicyDB"
"flat_pillar_21","r_m","IN.1","RegQua"
"flat_pillar_21","r_m","IN.2","QSRank"
"flat_pillar_21","r_m","IN.2","ExpEdu"
"flat_pillar_21","r_m","IN.2","ResPPop"
"flat_pillar_21","r_m","IN.3","LowCarbonEner"
"flat_pillar_21","r_m","IN.3","ElecOut"
"flat_pillar_21","r_m","IN.3","GroCap"
"flat_pillar_21","r_m","IN.4","LateVCInt"
"flat_pillar_21","r_m","IN.4","MarkCap"
"flat_pillar_21","r_m","IN.4","JointVenPB"
"flat_pillar_21","r_m","IN.5","Demogdividend"
"flat_pillar_21","r_m","IN.5","IntelPropPay"
"flat_pillar_21","r_m","IN.5","FDINetInfl"
"flat_pillar_21","r_m","OUT.6","ISOQual"
"flat_pillar_21","r_m","OUT.6","PCTInventors"
"flat_pillar_21","r_m","OUT.6","UtilModOrig"
"flat_pillar_21","r_m","OUT.7","CorpIAs"
"flat_pillar_21","r_m","OUT.7","AppCrea"
"flat_pillar_21","r_m","OUT.7","CreaGoodExp"
"prop_pillar_21","distance","IN.1","EntreprenPCplus"
"prop_pillar_21","distance","IN.1","RegQua"
"prop_pillar_21","distance","IN.2","QSRank"
"prop_pillar_21","distance","IN.2","RDCompExp"
"prop_pillar_21","distance","IN.2","PISA"
"prop_pillar_21","distance","IN.3","ElecOut"
"prop_pillar_21","distance","IN.3","ICTAccWIPO5G20"
"prop_pillar_21","distance","IN.4","VenCapRecPB"
"prop_pillar_21","distance","IN.4","AppTariffWTO"
"prop_pillar_21","distance","IN.4","DomCred2Priv"
"prop_pillar_21","distance","IN.5","ICTSevImp"
"prop_pillar_21","distance","IN.5","HiTechImp"
"prop_pillar_21","distance","IN.5","Demogdividend"
"prop_pillar_21","distance","IN.5","FDINetInfl"
"prop_pillar_21","distance","OUT.6","PCTInventors"
"prop_pillar_21","distance","OUT.6","EcComplexity"
"prop_pillar_21","distance","OUT.6","ICTServExp"
"prop_pillar_21","distance","OUT.6","SciTechArt"
"prop_pillar_21","distance","OUT.7","IndustDes"
"prop_pillar_21","distance","OUT.7","GHRecSentNoBot"
"prop_pillar_21","distance","OUT.7","CorpIAs"
"prop_pillar_21","r_m","IN.1","GovEff"
"prop_pillar_21","r_m","IN.1","EntreprenPCplus"
"prop_pillar_21","r_m","IN.2","RDCompExp"
"prop_pillar_21","r_m","IN.2","ExpEdu"
"prop_pillar_21","r_m","IN.2","ResPPop"
"prop_pillar_21","r_m","IN.3","ISOEnv"
"prop_pillar_21","r_m","IN.3","GroCap"
