"group","best_rm","variables","r_m"
"SP1.1",0.938407404703257,"PolStab",0.82564659755688
"SP1.2",0.97510304563532,"RuleOL",0.82564659755688
"SP1.3",0.833713283949291,"EntreprenPCplus",0.82564659755688
"SP2.1",0.626391438997332,"SchLifeExp",0.82564659755688
"SP2.2",0.615425731858994,"TertEnrol",0.82564659755688
"SP2.3",0.792835927859497,"RDExp",0.82564659755688
"SP3.1",0.877163656196223,"ICTAccWIPO5G20",0.82564659755688
"SP3.2",0.647167435747584,"LogPerf",0.82564659755688
"SP3.3",0.587668817308742,"ISOEnv",0.82564659755688
"SP4.1",0.650316174433195,"FinanceSSGEMplus",0.82564659755688
"SP4.2",0.750157113606286,"JointVenPB",0.82564659755688
"SP4.3",0.639239594843383,"HHI",0.82564659755688
"SP5.1",0.802120908590209,"KnowIntsEmp",0.82564659755688
"SP5.2",0.726522114609484,"UniResColl",0.82564659755688
"SP5.3",0.508235725036696,"ResTalBus",0.82564659755688
"SP6.1",0.637594067906078,"PCTInventors",0.82564659755688
"SP6.2",0.592471477308883,"HiTechManuf",0.82564659755688
"SP6.3",0.649282226734289,"EcComplexity",0.82564659755688
"SP7.1",0.612855803196455,"IndustDes",0.82564659755688
"SP7.2",0.549508850287143,"EntMedia",0.82564659755688
"SP7.3",0.639371467525581,"GHRecSentNoBot",0.82564659755688
