iCode,Pillar,Subpillar,
PolStab,1,1,
GovEff,1,1,
RegQua,1,2,
RuleOL,1,2,
PolicyDB,1,3,
EntreprenPCplus,1,3,
ExpEdu,2,1,
GovFundPup,2,1,
SchLifeExp,2,1,
PISA,2,1,
PupTeachR,2,1,
TertEnrol,2,2,
SciEngGrad,2,2,
TertMob,2,2,
ResPPop,2,3,
RDExp,2,3,
RDCompExp,2,3,
QSRank,2,3,
ICTAccWIPO5G20,3,1,
ICTUseWIPO2,3,1,
GovOLServ,3,1,
ElecOut,3,2,
LogPerf,3,2,
GroCap,3,2,
GDPEner,3,3,
LowCarbonEner,3,3,
ISOEnv,3,3,
FinanceSSGEMplus,4,1,
DomCred2Priv,4,1,
MicroLoanIMFFAS,4,1,
MarkCap,4,2,
VenCapInvPB,4,2,
VenCapRecPB,4,2,
LateVCInt,4,2,
JointVenPB,4,2,
AppTariffWTO,4,3,
HHI,4,3,
DomMarkSc,4,3,
Demogdividend,5,1,
KnowIntsEmp,5,1,
FemEmpDeg,5,1,
GERDPerf,5,1,
GERDFinBus,5,1,
PublicPrivCopubs,5,2,
UniResColl,5,2,
THEunirank,5,2,
StatClustDev,5,2,
PatFam,5,2,
IntelPropPay,5,3,
HiTechImp,5,3,
ICTSevImp,5,3,
FDINetInfl,5,3,
ResTalBus,5,3,
PatOrig,6,1,
PCTInventors,6,1,
UtilModOrig,6,1,
SciTechArt,6,1,
CitDoc,6,1,
GrowPPP,6,2,
UnicornVal,6,2,
CompSoftSpend,6,2,
HiTechManuf,6,2,
IntelPropRec,6,3,
EcComplexity,6,3,
HTExpHKG,6,3,
ICTServExp,6,3,
ISOQual,6,3,
CorpIAs,7,1,
TradmkOrig,7,1,
BrandVal,7,1,
IndustDes,7,1,
CultServExp,7,2,
FilmsOmdia,7,2,
EntMedia,7,2,
CreaGoodExp,7,2,
TLDsMix,7,3,
GHRecSentNoBot,7,3,
AppCrea,7,3,
